L1 = Terminal Pathway,Splay,L2,L3,L4
pyruvate fermentation to acetate and lactate II,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate I,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate II,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate III,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate IV,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate V,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate VI,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate VII,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate VIII,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to butanoate,L2B,Fermentation to Butanoate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
Pyruvate Fermentation to Butanol (2 instances),L2B,Fermentation to Alcohols (17 instances),Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances)
pyruvate fermentation to butanol I,L2B,Pyruvate Fermentation to Butanol (2 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to butanol II (engineered),L2B,Pyruvate Fermentation to Butanol (2 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
Pyruvate Fermentation to Ethanol (7 instances),L2B,Fermentation to Alcohols (17 instances),Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances)
pyruvate fermentation to ethanol I,L2B,Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Alcohols (17 instances),Fermentation (81 instances)
pyruvate fermentation to ethanol II,L2B,Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Alcohols (17 instances),Fermentation (81 instances)
pyruvate fermentation to ethanol III,L2B,Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Alcohols (17 instances),Fermentation (81 instances)
pyruvate fermentation to hexanol (engineered),L2B,Fermentation to Alcohols (17 instances),Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances)
pyruvate fermentation to isobutanol (engineered),L2B,Fermentation to Alcohols (17 instances),Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances)
pyruvate fermentation to lactate (4 instances),L2B,Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
Pyruvate Fermentation to Propanoate (2 instances),L2B,Fermentation to Propanoate (7 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
pyruvate fermentation to propanoate I,L2B,Pyruvate Fermentation to Propanoate (2 instances),Fermentation to Propanoate (7 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
pyruvate fermentation to propanoate II (acrylate pathway),L2B,Pyruvate Fermentation to Propanoate (2 instances),Fermentation to Propanoate (7 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
pyruvate to cytochrome bd oxidase electron transfer,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
pyruvate to cytochrome bo oxidase electron transfer,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
pyruvoyl group formation from L-serine,L2B,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
reactive oxygen species degradation,L2B,Superpathways (382 instances),NA,NA
resveratrol biosynthesis,L2B,Stilbene Phytoalexin Biosynthesis (2 instances),Phytoalexin Biosynthesis (38 instances),Toxin Biosynthesis (205 instances)
resveratrol degradation,L2B,Phenylpropanoid Derivative Degradation (10 instances),Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances)
Rhamnogalacturonan Type I Degradation (2 instances),L2B,Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances),Degradation/Utilization/Assimilation (1104 instances)
rhamnogalacturonan type I degradation I,L2B,Rhamnogalacturonan Type I Degradation (2 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
rhamnogalacturonan type I degradation II (bacteria),L2B,Rhamnogalacturonan Type I Degradation (2 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
ricinoleate biosynthesis,L2B,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
rifamycin B biosynthesis,L2B,Polyketide Biosynthesis (42 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
S-adenosyl-L-methionine biosynthesis,L2B,Single Carbon Carrier Biosynthesis (23 instances),Carrier Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
S-methyl-5-thio-alpha-D-ribose 1-phosphate Degradation (3 instances),L2B,Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances),NA
S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I,L2B,S-methyl-5-thio-alpha-D-ribose 1-phosphate Degradation (3 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation II,L2B,S-methyl-5-thio-alpha-D-ribose 1-phosphate Degradation (3 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation III,L2B,S-methyl-5-thio-alpha-D-ribose 1-phosphate Degradation (3 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
sakuranetin biosynthesis,L2B,Flavonoid Phytoalexin Biosynthesis (1 instances),Phytoalexin Biosynthesis (38 instances),Toxin Biosynthesis (205 instances)
salicylate glucosides biosynthesis I,L2B,Superpathways (382 instances),NA,NA
Salmonella enterica serotype O:13 O antigen biosynthesis,L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
Salmonella enterica serotype O:18 O antigen biosynthesis,L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
Salmonella enterica serotype O:2 O antigen biosynthesis,L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
"Salmonella enterica serotype O:3,10 O antigen biosynthesis",L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
Salmonella enterica serotype O:39 O antigen biosynthesis,L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
Salmonella enterica serotype O:4 O antigen biosynthesis (group B1),L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
Salmonella enterica serotype O:54 O antigen biosynthesis,L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
"Salmonella enterica serotype O:6,7 O antigen biosynthesis",L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
Salmonella enterica serotype O:8 O antigen biosynthesis,L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
Salmonella enterica serotype O:9 O antigen biosynthesis,L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
"Salmonella enterica serotype O:9,46 O antigen biosynthesis",L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
"Salmonella enterica serotype O:9,46,27 O antigen biosynthesis",L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
sch210971 and sch210972 biosynthesis,L2B,Polyketide Biosynthesis (42 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
secologanin and strictosidine biosynthesis,L2B,Terpenoid Alkaloid Biosynthesis (4 instances),Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
Seleno-Amino Acid Detoxification (4 instances),L2B,Selenium Metabolism (5 instances),Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances)
seleno-amino acid detoxification and volatilization I,L2B,Seleno-Amino Acid Detoxification (4 instances),Detoxification (65 instances),NA
seleno-amino acid detoxification and volatilization II,L2B,Seleno-Amino Acid Detoxification (4 instances),Detoxification (65 instances),NA
seleno-amino acid detoxification and volatilization III,L2B,Seleno-Amino Acid Detoxification (4 instances),Detoxification (65 instances),NA
sesquiterpenoid phytoalexins biosynthesis,L2B,Terpenoid Phytoalexin Biosynthesis (10 instances),Phytoalexin Biosynthesis (38 instances),Toxin Biosynthesis (205 instances)
Shigella boydii serotype 6 O antigen biosynthesis,L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
spheroidene and spheroidenone biosynthesis,L2B,C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances)
sphingolipid biosynthesis (mammals),L2B,Superpathways (382 instances),NA,NA
"spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis",L2B,C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances)
Spodoptera littoralis pheromone biosynthesis,L2B,Metabolic Clusters (69 instances),NA,NA
sporopollenin precursors biosynthesis,L2B,Plant Cell Structures (10 instances),Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances)
stachyose biosynthesis,L2B,Oligosaccharide Biosynthesis (9 instances),Carbohydrate Biosynthesis (228 instances),Biosynthesis (1993 instances)
staphyloxanthin biosynthesis,L2B,C30 Carotenoid Biosynthesis (2 instances),Triterpenoid Biosynthesis (32 instances),Terpenoid Biosynthesis (203 instances)
starch biosynthesis,L2B,Glycogen and Starch Biosynthesis (4 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
Starch Degradation (5 instances),L2B,Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances),Degradation/Utilization/Assimilation (1104 instances)
starch degradation I,L2B,Glycan Degradation (11 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
starch degradation II,L2B,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
starch degradation III,L2B,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
starch degradation IV,L2B,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
starch degradation V,L2B,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
sterol:steryl ester interconversion (yeast),L2B,Sterol Biosynthesis (28 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
streptovaricin biosynthesis,L2B,Polyketide Biosynthesis (42 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
strychnine biosynthesis,L2B,Terpenoid Alkaloid Biosynthesis (4 instances),Alkaloid Biosynthesis (89 instances),Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)
suberin monomers biosynthesis,L2B,Plant Cell Structures (10 instances),Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances)
succinate to chytochrome c oxidase via cytochrome c6,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
succinate to cytochrome bd oxidase electron transfer,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
succinate to cytochrome bo oxidase electron transfer,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
succinate to cytochrome c oxidase via plastocyanin,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
succinate to plastoquinol oxidase,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
succinoglycan biosynthesis,L2B,Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances),Biosynthesis (1993 instances)
sucrose biosynthesis I (from photosynthesis),L2B,Superpathways (382 instances),NA,NA
Sugar Acid Degradation (19 instances),L2B,Sugar Derivative Degradation (56 instances),Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances)
sulfate activation for sulfonation,L2B,Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances)
sulfide oxidation I (to sulfur globules),L2B,Sulfide Oxidation (7 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
sulfide oxidation III (to sulfite),L2B,Sulfide Oxidation (7 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
sulfite oxidation I,L2B,Sulfite Oxidation (7 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
sulfite oxidation V (SoeABC),L2B,Sulfite Oxidation (7 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
sulfur disproportionation I (anaerobic),L2B,Sulfur Disproportionation (3 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
sulfur disproportionation II (aerobic),L2B,Sulfur Disproportionation (3 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
sulfur oxidation I (aerobic),L2B,Sulfur Oxidation (4 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
sulfur oxidation II (Fe+3-dependent),L2B,Sulfur Oxidation (4 instances),Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances)
sulfur volatiles biosynthesis,L2B,Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances)
