"","L1...Terminal.Pathway","L3","L4","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"1191","2,4,6-trinitrophenol and 2,4-dinitrophenol degradation","Phenolic Compound Degradation (27 instances)","Aromatic Compound Degradation (227 instances)",NA,"Nitrophenol Degradation (4 instances)",NA,NA,NA,NA,NA
"1192","24-epi-campesterol, fucosterol, and clionasterol biosynthesis (diatoms)","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,"Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA
"1193","3 Chlorotoluene Degradation (2 instances)","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorotoluene Degradation (5 instances)",NA,NA,NA,NA,NA
"1194","3-Chlorobenzoate Degradation (3 instances)","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA
"1195","3-Chlorocatechol Degradation (3 instances)","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA
"1196","3-chlorotoluene degradation II","Chlorotoluene Degradation (5 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,"3 Chlorotoluene Degradation (2 instances)",NA,NA,NA,NA,NA
"1197","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1198","3-phenylpropanoate degradation",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1199","3,4-dichlorobenzoate degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA
"1200","3,4,6-trichlorocatechol degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA
"1201","3,5-dichlorocatechol degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA
"1202","3,5-dimethoxytoluene biosynthesis","Biosynthesis (1993 instances)",NA,NA,"Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA
"1203","3,5,6-trichloro-2-pyridinol degradation","Chlorinated Compound Degradation (44 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
"1204","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (2 instances)","Vitamin Biosynthesis (66 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,"Thiamine Biosynthesis (20 instances)",NA,NA,NA,NA,NA
"1205","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I","Thiamine Biosynthesis (20 instances)","Vitamin Biosynthesis (66 instances)",NA,"4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1206","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II","Thiamine Biosynthesis (20 instances)","Vitamin Biosynthesis (66 instances)",NA,"4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1207","4-aminobutanoate degradation V","Fermentation to Short-Chain Fatty Acids (40 instances)","Fermentation (81 instances)",NA,"Fermentation to Butanoate (8 instances)",NA,NA,NA,NA,NA
"1208","4-chloro-2-methylphenoxyacetate degradation","Chlorinated Compound Degradation (44 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
"1209","4-chlorobenzoate degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA
"1210","4-chlorocatechol degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA
"1211","4-coumarate degradation (aerobic)","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Phenylpropanoid Derivative Degradation (10 instances)",NA,NA,NA,NA,NA
"1212","4-coumarate degradation (anaerobic)","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Phenylpropanoid Derivative Degradation (10 instances)",NA,NA,NA,NA,NA
"1213","4-hydroxycoumarin and dicoumarol biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)",NA,"Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA
"1214","4-Nitrophenol Degradation (2 instances)","Phenolic Compound Degradation (27 instances)","Aromatic Compound Degradation (227 instances)",NA,"Nitrophenol Degradation (4 instances)",NA,NA,NA,NA,NA
"1215","4-nitrophenol degradation I","Nitrophenol Degradation (4 instances)","Phenolic Compound Degradation (27 instances)",NA,"4-Nitrophenol Degradation (2 instances)",NA,NA,NA,NA,NA
"1216","4-nitrophenol degradation II","Nitrophenol Degradation (4 instances)","Phenolic Compound Degradation (27 instances)",NA,"4-Nitrophenol Degradation (2 instances)",NA,NA,NA,NA,NA
"1217","4,4'-diapolycopenedioate biosynthesis","Triterpenoid Biosynthesis (32 instances)","Terpenoid Biosynthesis (203 instances)",NA,"C30 Carotenoid Biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1218","4,5-dichlorocatechol degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorocatechol Degradation (7 instances)",NA,NA,NA,NA,NA
"1219","5-chloro-3-methyl-catechol degradation","Chlorinated Compound Degradation (44 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
"1220","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","Vitamin Biosynthesis (66 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,"Folate Biosynthesis (14 instances)",NA,NA,NA,NA,NA
"1221","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","Folate Biosynthesis (14 instances)","Vitamin Biosynthesis (66 instances)",NA,"6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA
"1222","6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)","Folate Biosynthesis (14 instances)","Vitamin Biosynthesis (66 instances)",NA,"6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA
"1223","6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","Folate Biosynthesis (14 instances)","Vitamin Biosynthesis (66 instances)",NA,"6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA
"1224","6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)","Folate Biosynthesis (14 instances)","Vitamin Biosynthesis (66 instances)",NA,"6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA
"1225","6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)","Folate Biosynthesis (14 instances)","Vitamin Biosynthesis (66 instances)",NA,"6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)",NA,NA,NA,NA,NA
"1226","6-methoxymellein biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,"Coumarins Biosynthesis (14 instances)",NA,NA,NA,NA,NA
"1227","8-oxo-(d)GTP detoxification I",NA,NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"1228","8-oxo-(d)GTP detoxification II",NA,NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"1229","A series fagopyritols biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)",NA,"Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA
"1230","ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide","Glycan Biosynthesis (99 instances)","Glycan Pathways (121 instances)",NA,"Protein Glycosylation (22 instances)",NA,NA,NA,NA,NA
"1231","ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide","Glycan Biosynthesis (99 instances)","Glycan Pathways (121 instances)",NA,"Protein Glycosylation (22 instances)",NA,NA,NA,NA,NA
"1232","abscisic acid biosynthesis","Sesquiterpenoid Biosynthesis (41 instances)","Terpenoid Biosynthesis (203 instances)",NA,"Abscisic Acid Biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1233","Abscisic Acid Biosynthesis (2 instances)","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,"Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA
"1234","abscisic acid biosynthesis shunt","Sesquiterpenoid Biosynthesis (41 instances)","Terpenoid Biosynthesis (203 instances)",NA,"Abscisic Acid Biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1235","Abscisic Acid Degradation (4 instances)","Terpenoid Degradation (22 instances)","Secondary Metabolite Degradation (127 instances)",NA,"Sesquiterpenoid Degradation (5 instances)",NA,NA,NA,NA,NA
"1236","abscisic acid degradation by glucosylation","Sesquiterpenoid Degradation (5 instances)","Terpenoid Degradation (22 instances)",NA,"Abscisic Acid Degradation (4 instances)",NA,NA,NA,NA,NA
"1237","abscisic acid degradation to 7'-hydroxyabscisate","Sesquiterpenoid Degradation (5 instances)","Terpenoid Degradation (22 instances)",NA,"Abscisic Acid Degradation (4 instances)",NA,NA,NA,NA,NA
"1238","abscisic acid degradation to neophaseic acid","Sesquiterpenoid Degradation (5 instances)","Terpenoid Degradation (22 instances)",NA,"Abscisic Acid Degradation (4 instances)",NA,NA,NA,NA,NA
"1239","abscisic acid degradation to phaseic acid","Sesquiterpenoid Degradation (5 instances)","Terpenoid Degradation (22 instances)",NA,"Abscisic Acid Degradation (4 instances)",NA,NA,NA,NA,NA
"1240","Abscisic acid derivative Biosynthesis (0 instances)","Sesquiterpenoid Biosynthesis (41 instances)","Terpenoid Biosynthesis (203 instances)",NA,"Abscisic Acid Biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1241","Ac/N-end rule pathway","Macromolecule Modification (64 instances)",NA,NA,"Protein Modification (41 instances)",NA,NA,NA,NA,NA
"1242","acetaldehyde biosynthesis II","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,"Phytoalexin Biosynthesis (38 instances)",NA,NA,NA,NA,NA
"1243","acetan biosynthesis","Carbohydrate Biosynthesis (228 instances)","Biosynthesis (1993 instances)",NA,"Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA
"1244","acetate and ATP formation from acetyl-CoA I","Fermentation to Short-Chain Fatty Acids (40 instances)","Fermentation (81 instances)",NA,"Fermentation to Acetate (21 instances)",NA,NA,NA,NA,NA
"1245","acetate and ATP formation from acetyl-CoA II","Fermentation to Short-Chain Fatty Acids (40 instances)","Fermentation (81 instances)",NA,"Fermentation to Acetate (21 instances)",NA,NA,NA,NA,NA
"1246","acetate formation from acetyl-CoA (succinate)","Fermentation to Short-Chain Fatty Acids (40 instances)","Fermentation (81 instances)",NA,"Fermentation to Acetate (21 instances)",NA,NA,NA,NA,NA
"1247","acetyl-CoA fermentation to butanoate",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1248","acetylene degradation (anaerobic)","Fermentation to Short-Chain Fatty Acids (40 instances)","Fermentation (81 instances)",NA,"Fermentation to Acetate (21 instances)",NA,NA,NA,NA,NA
"1249","acyl carrier protein activation","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biosynthesis (1993 instances)",NA,"Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA
"1250","acyl carrier protein metabolism","Activation/Inactivation/Interconversion (53 instances)",NA,NA,"Interconversions (22 instances)",NA,NA,NA,NA,NA
"1251","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","Purine Nucleotide De Novo Biosynthesis (16 instances)","Purine Nucleotide Biosynthesis (33 instances)",NA,"Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)",NA,NA,NA,NA,NA
"1252","adenosine deoxyribonucleotides de novo biosynthesis I","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","Purine Nucleotide De Novo Biosynthesis (16 instances)",NA,"Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1253","adenosine deoxyribonucleotides de novo biosynthesis II","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","Purine Nucleotide De Novo Biosynthesis (16 instances)",NA,"Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1254","adenosylcobalamin biosynthesis I (anaerobic)",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1255","adenosylcobalamin biosynthesis II (aerobic)",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1256","aerobic respiration I (cytochrome c)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,"Electron Transfer Chains (43 instances)",NA,NA,NA,NA,NA
"1257","aerobic respiration II (cytochrome c) (yeast)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,"Electron Transfer Chains (43 instances)",NA,NA,NA,NA,NA
"1258","aerobic respiration III (alternative oxidase pathway)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,"Electron Transfer Chains (43 instances)",NA,NA,NA,NA,NA
"1259","afrormosin conjugates interconversion","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,"Isoflavonoid Biosynthesis (31 instances)",NA,NA,NA,NA,NA
"1260","agarose degradation","Polymeric Compound Degradation (52 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"1261","ajugose biosynthesis I (galactinol-dependent)","Carbohydrate Biosynthesis (228 instances)","Biosynthesis (1993 instances)",NA,"Oligosaccharide Biosynthesis (9 instances)",NA,NA,NA,NA,NA
"1262","ajugose biosynthesis II (galactinol-independent)","Carbohydrate Biosynthesis (228 instances)","Biosynthesis (1993 instances)",NA,"Oligosaccharide Biosynthesis (9 instances)",NA,NA,NA,NA,NA
"1263","Alginate Biosynthesis (2 instances)","Carbohydrate Biosynthesis (228 instances)","Biosynthesis (1993 instances)",NA,"Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA
"1264","alginate biosynthesis I (algal)","Polysaccharide Biosynthesis (73 instances)","Carbohydrate Biosynthesis (228 instances)",NA,"Alginate Biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1265","alginate biosynthesis II (bacterial)","Polysaccharide Biosynthesis (73 instances)","Carbohydrate Biosynthesis (228 instances)",NA,"Alginate Biosynthesis (2 instances)",NA,NA,NA,NA,NA
"1266","alginate degradation","Polymeric Compound Degradation (52 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"1267","allantoin degradation IV (anaerobic)",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1268","allantoin degradation to glyoxylate I",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1269","allantoin degradation to glyoxylate II",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1270","allantoin degradation to glyoxylate III",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1271","alpha-carotene biosynthesis","Tetraterpenoid Biosynthesis (38 instances)","Terpenoid Biosynthesis (203 instances)",NA,"C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"1272","alpha-dystroglycan glycosylation","Glycan Biosynthesis (99 instances)","Glycan Pathways (121 instances)",NA,"Protein Glycosylation (22 instances)",NA,NA,NA,NA,NA
"1273","ammonia assimilation cycle I",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1274","ammonia oxidation I (aerobic)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,"Chemoautotrophic Energy Metabolism (18 instances)",NA,NA,NA,NA,NA
"1275","ammonia oxidation II (anaerobic)","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,"Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA
"1276","ammonia oxidation IV (autotrophic ammonia oxidizers)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,"Chemoautotrophic Energy Metabolism (18 instances)",NA,NA,NA,NA,NA
"1277","anaerobic aromatic compound degradation (Thauera aromatica)",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1278","anaerobic energy metabolism (invertebrates, mitochondrial)",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1279","ansatrienin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)",NA,"Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA
"1280","anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)",NA,NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"1281","anthocyanidin acylglucoside and acylsambubioside biosynthesis",NA,NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"1282","anthocyanidin sambubioside biosynthesis",NA,NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"1283","anthocyanidin sophoroside metabolism",NA,NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"1284","Apocarotenoid Biosynthesis (4 instances)","Tetraterpenoid Biosynthesis (38 instances)","Terpenoid Biosynthesis (203 instances)",NA,"C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"1285","arachidonate biosynthesis III (6-desaturase, mammals)",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1286","archaetidylinositol biosynthesis",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1287","archaetidylserine and archaetidylethanolamine biosynthesis",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1288","Arg/N-end rule pathway (eukaryotic)","Macromolecule Modification (64 instances)",NA,NA,"Protein Modification (41 instances)",NA,NA,NA,NA,NA
"1289","aromatic compounds degradation via beta-ketoadipate",NA,NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA
"1290","aromatic glucosinolate activation","Nitrogen Containing Glucoside Degradation (12 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)",NA,"Glucosinolate Activation (4 instances)",NA,NA,NA,NA,NA
